,target_id,smiles,pAc
11127,P11309,C[C@H]1CN(C[C@H]([C@@H]1O)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4CCCCC4,8.76
10898,P11309,C[C@H]1C[C@H](C[C@H]([C@H]1N2C=C(N=N2)C(C)(C)O)N)C3=C(C=NC=C3)NC(=O)C4=NC(=C(C=C4)F)C5=C(C=CC=C5F)F,8.28
11285,P11309,C[C@H]1CN(C[C@H]([C@H]1N2C=CN=N2)N)C3=C(C=NC=C3)NC(=O)C4=NC(=C(C=C4)F)C5=C(C=C(C=C5F)OC(C)C)F,9.426666666666666
10509,P11309,CN(C)CCN(CC1=CC=CC=C1)C2=NC3=C(N2)C(=C(C(=C3Br)Br)Br)Br,7.2
10665,P11309,C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)C4=CSC(=N4)C5=C(C=CC=C5F)F,7.68
10821,P11309,COC1=CC(=NC2=C1N=NN2C3=CC(=CC=C3)OC(F)(F)F)NCC4CCNCC4,8.075
11020,P11309,C1CC(CCC1NC2=CC=CC3=C2N=C(C=C3)C4=NN=C5N4C=CC=C5)O,8.52
10714,P11309,CN1C=C(C=N1)NC(=O)C2=C(SC(=N2)C3=C(C=CC=C3F)F)N,7.8
11262,P11309,C[C@H]1C[C@H](C[C@H]([C@H]1OCCS(=O)(=O)C)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=C(C=C4F)OCCOC)F,9.296666666666667
10650,P11309,CN1CCN(CC1)CC2=NC(=O)C3=C(N2)C4=C(O3)C=CC(=C4)I,7.62
10356,P11309,C1=CC(=CC(=C1)Cl)NC2=C3C=CN=CC3=C4C=CC=C(C4=N2)C5=NN=CO5,6.64
10305,P11309,C1C(CN2C3=CC=CC=C3C4=C2C5=C(C=C4)C(=CN51)C=O)OCC#N,6.41
11032,P11309,C[C@H]1C[C@H](C[C@H]([C@H]1OC)N)C2=C(C=NC=C2)NC(=O)C3=CSC(=N3)C4=C(C=CC=C4F)F,8.553333333333333
10428,P11309,COCCNC(=O)C1=CC=CC2=C3C=NC=CC3=C(N=C21)NC4=CC(=CC=C4)Cl,6.94
11189,P11309,C1CNC[C@H]1OC2=C(C=NC=C2)NC(=O)C3=C(SC(=N3)C4=C(C=CC=C4F)F)N,9.0
10726,P11309,C1CCC(CC1)NC2=NC(=CN=C2)C3=CNC4=C3C=C(C=C4)C5=NN=C(S5)N,7.825
10923,P11309,C1C[C@H](C[C@H](C1)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C(=CC=C4)F)F,8.306666666666665
10091,P11309,C1=CC2=C(C=C1Br)C=C(O2)C(=O)O,5.0600000000000005
10422,P11309,C[C@@H]1C[C@@H](C[C@@H]([C@@H]1N2C=NC=N2)N)C3=C(C=NC=C3)NC(=O)C4=NC(=C(C=C4)F)C5=C(C=CC=C5F)F,6.909999999999998
10099,P11309,CCNC1=N/C(=C\C2=CC3=C(C=C2)OCO3)/C(=O)N1C,5.14
11082,P11309,CC[C@@H](COC1=NC(=CN=C1)C2=CC3=C(C=C2)NC=C3C4=C(N=C(C=C4)N)F)N,8.7
10899,P11309,C1CC[C@H]([C@@H](C1)N)NC2=NC3=C(N2)C(=C(C(=C3Br)Br)Br)Br,8.28
10138,P11309,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C(=CSC4=N3)C(=O)NCCCN(C)C,5.39
11096,P11309,CC1CC(CN(C1)C2=C(C=NC=C2)NC(=O)C3=CSC(=N3)C4=C(C=CC=C4F)F)N,8.7
10235,P11309,C1=CC=C(C=C1)/C=C\2/C(=O)NC(=O)S2,6.05
10577,P11309,COC1=CC=CC=C1NC2=C3C=CN=CC3=C4C=CC=C(C4=N2)C5=NC=NN5,7.39
10476,P11309,C[C@@H]1C[C@@H](C[C@@H]([C@@H]1O)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=CC=C4F)F,7.129999999999999
10470,P11309,CN1CCN(CC1)CC2=NC(=O)C3=C(N2)C4=C(O3)C=CC(=C4)Cl,7.11
10684,P11309,C1CN(CCN1)C2=C(C=CC=C2Cl)/C=C\3/C(=O)NC(=O)S3,7.74
10556,P11309,C1=CC=C2C(=C1)C3=C(N2CCCCC#N)C4=C(C=C3)C(=CN4)C=O,7.34
11114,P11309,C[C@H]1C[C@H](C[C@H]([C@H]1O)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=CC=C4F)F,8.739999999999998
10089,P11309,CC1=CC=C(C=C1)NC2=NC(=O)/C(=C/C3=CC4=C(C=C3)OCO4)/N2,5.05
10328,P11309,C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)OC5CCN(CC5)C)C(=O)N,6.51
10263,P11309,C1=C(C(=CC(=C1Br)Br)NC2=NC3=C(N2)C(=C(C(=C3Br)Br)Br)Br)N,6.22
10244,P11309,C1=CC=C2C=C(C=CC2=C1)C3=C4N=C(C=CN4N=C3)N,6.09
11188,P11309,C[C@H]1CN(C[C@H]([C@@H]1O)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3N)F)C4=C(C=CC=C4F)F,9.0
10630,P11309,C1=CC2=NN=C(N2C=C1)C3=NC4=C(C=CC=C4OCC5=CC=NC=C5)C=C3,7.57
10421,P11309,C1C2CN(CC2CN1)C3=NC4=C(C=C3)N=NN4C5=CC(=CC=C5)OC(F)(F)F,6.9
10879,P11309,C1C[C@@H]([C@@H](C[C@@H]1C2=C(C=NC=C2)NC(=O)C3=CSC(=N3)C4=C(C=CC=C4F)F)N)O,8.22
11024,P11309,C1C[C@H](C[C@H](C1)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=CC(=C4)O)F,8.523333333333332
10389,P11309,C1CCN(C1)C2=CC=CC(=N2)C3=CNC4=C3C=C(C=C4)C5=NN=C(S5)N,6.800000000000002
10287,P11309,C1=CC2=C(C=C1C3=NC(=NC=C3)NCCCCN)C=C(O2)C(=O)O,6.34
10378,P11309,C1CN(CCN1)C2=CC=C(C=C2)C3=C4C=CC(=NC4=NN3)C5=CC(=NC=C5)N,6.77
10241,P11309,CN(C)CCNC1=NC2=C(C=NN2C=C1)C3=CC=C(C=C3)Cl,6.08
11290,P11309,C[C@H]1CN(C[C@H]([C@H]1NC(=O)OC)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=C(C=C4F)C5(CCC5)O)F,9.456666666666667
10982,P11309,C[C@H]1C[C@H](C[C@H]([C@H]1C#N)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=CC=C4F)F,8.433333333333332
10168,P11309,C1CNCCC1CNC(=O)C2=C3C(=CC(=C2)Br)C=C(O3)C(=O)O,5.57
11147,P11309,C1C[C@H](C[C@H](C1)N)C2=C(C=NC=C2)NC(=O)C3=CSC(=N3)C4=C(C=CC=C4F)F,8.85
10959,P11309,C1=CC=C(C=C1)CNC2=NC3=C(C=CC=C3C4=NC=NN4)C5=C2C=CS5,8.4
10261,P11309,C1=CC(=CC(=C1)Cl)/C=C\2/C(=O)NC(=O)S2,6.22
10154,P11309,CC1=C(C(=C2C(=C1C=O)[C@H]3C(=O)C4=C([C@H](O3)O2)C(=C(C(=C4O)O)O)C)O)O,5.51
11051,P11309,C[C@H]1C[C@H](C[C@H]([C@@H]1OC)N)C2=C(C=NC=C2)NC(=O)C3=C(C=CC(=N3)C4=C(C=CC(=C4)C(=O)NC(C)C)F)N,8.616666666666667
10992,P11309,CC(C)NC(=O)C1=CC(=C(C=C1)F)C2=NC(=CS2)C(=O)NC3=C(C=CN=C3)N4CCC[C@@H](C4)N,8.49
10398,P11309,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCN(C)C,6.82
11339,P11309,C[C@H]1C[C@H](C[C@H]([C@H]1OCCC#N)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3N)F)C4=C(C=CC=C4F)F,9.846666666666666
10632,P11309,C1=CC=C(C=C1)NC2=NC3=C(C=CC=C3C4=NC=NN4)C5=CSC=C52,7.57
11288,P11309,C[C@H]1C[C@H](C[C@H]([C@H]1OCCS(=O)(=O)C)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=C(C=C4F)OC)F,9.446666666666664
10453,P11309,C1=CC(=CC=C1C2=C3C=C(C=CC3=NO2)C4=CN=CC(=N4)N)C(F)(F)F,7.04
10231,P11309,COC1=C(C=C(C=C1)/C=C\2/C(=O)NC(=O)S2)OC,6.02
10351,P11309,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=C4N=C(C=CN4N=C3)NCCN,6.61
10272,P11309,C[C@@H]1C[C@@H](C[C@@H]([C@@H]1OCCS(=O)(=O)C)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=C(C=C4F)C)F,6.263333333333333
11320,P11309,C[C@H]1CN(C[C@H]([C@H]1N=[N+]=[N-])N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=CC=C4F)F,9.606666666666666
10205,P11309,C[C@@H]1C[C@@H](C[C@@H]([C@H]1OC)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=CC=C4F)F,5.81
10688,P11309,CCN1CCC(CC1)CNC2=NN3C(=NC=C3C4=CC(=CC=C4)OC(F)(F)F)C=C2,7.74
